spikelets_num,x_resolution,y_resolution,resolution_unit,compression,exposure_time,f_number,photographic_sensitivity,subject_distance,focal_length,pixel_x_dimension,pixel_y_dimension,focal_plane_resolution_unit,exposure_mode,white_balance,name
20,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6417_2_{X-18}
11,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6416_3_{X-18}
19,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6418_2_{X-18}
12,300.0,300.0,2,6,0.00625,10.0,100,0.0,112.0,5037,3358,2,1,0,1988
20,300.0,300.0,2,6,0.00625,14.0,100,0.0,63.0,3456,5184,2,1,1,6418_{X-18}
10,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6416_1_{X-18}
11,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6418_1_{X-18}
21,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6419_2_{X-18}
21,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6419_4_{X-18}
10,300.0,300.0,2,6,0.00625,14.0,100,0.0,63.0,3456,5184,2,1,1,6416_{X-18}
21,300.0,300.0,2,6,0.00625,14.0,100,0.0,63.0,3456,5184,2,1,1,6419_{X-18}
10,300.0,300.0,2,6,0.00625,14.0,100,0.0,63.0,3456,5184,2,1,1,6417_{X-18}
12,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6419_1_{X-18}
20,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6418_4_{X-18}
19,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6416_2_{X-18}
21,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6416_4_{X-18}
10,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6417_3_{X-18}
19,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6417_4_{X-18}
10,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6417_1_{X-18}
11,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6419_3_{X-18}
11,300.0,300.0,2,6,0.00625,9.0,100,0.0,63.0,3456,5184,2,1,1,6418_3_{X-18}
