ratio,name
0.04219688090793553,6417_2_{X-18}
0.03937383110673952,6416_3_{X-18}
0.03997004476493276,6418_2_{X-18}
0.03864873675485001,1988
0.03608329912257457,6418_{X-18}
0.04656083850973921,6416_1_{X-18}
0.03948214882312904,6418_1_{X-18}
0.03874167300458767,6419_2_{X-18}
0.04107779191691321,6419_4_{X-18}
0.03750633388167396,6416_{X-18}
0.03613294752772791,6419_{X-18}
0.03955077950514527,6417_{X-18}
0.0413336419311533,6419_1_{X-18}
0.03806095714491773,6418_4_{X-18}
0.04153113023727851,6416_2_{X-18}
0.03956955259299694,6416_4_{X-18}
0.0404140400416841,6417_3_{X-18}
0.03906688060914202,6417_4_{X-18}
0.04385724243429467,6417_1_{X-18}
0.03961133373158522,6419_3_{X-18}
0.036944049107024785,6418_3_{X-18}
